Nom de l'entreprise,E-mail,Téléphone,Description de l'activité (anglais),Secteur majeur BvD,Section NACE Rév. 2
LVC,sa@lvc.fr,+33 1 48 60 24 05,,Télécommunications,J - Information et communication
ATLANSTAT,contact@atlanstat.com,+33 6 31 94 44 46,,Autres services,J - Information et communication
DATEC,info@lavoisier.fr,+33 1 47 40 67 90,,Autres services,J - Information et communication
SAITEC,saitec@saitec-net.com,+33 3 85 84 68 04,,Autres services,J - Information et communication
...FAIRE SAVOIR!,contact@faire-savoir.com,+33 3 20 58 91 52,,"Edition, impression",J - Information et communication
XOTIS,contact@xotis.com,+33 3 23 76 37 37,,Autres services,J - Information et communication
ALGONIS,contact@algonis.net,+33 1 46 58 41 79,,Autres services,J - Information et communication
NOVEN,info@noven.fr,+33 1 58 64 01 35,,Autres services,J - Information et communication
TETRA INFORMATIQUE,marketing@tetra-info.com,+33 3 27 94 30 20,,Autres services,J - Information et communication
NET VEILLE,contact@netveille.com,+33 1 47 58 12 58,Online comparison market platform operator [source: Bureau van Dijk],Autres services,J - Information et communication
CENTRE TELEMATIQUE SERVICES,cts@ctsfrance.fr,+33 2 38 43 33 43,Engaged in computer programming activities,Autres services,J - Information et communication
DIGIVISION,accueil@digivision.fr,+33 5 34 40 51 90,Engaged in motion picture and video production,Autres services,J - Information et communication
NEW WAY EVOLUTION,accueil@highwaytv.com,+33 1 44 37 56 56,,Autres services,J - Information et communication
APSIT AGENCE PREST SERV INFORM TELEC,infoapsit@apsit.fr,+33 1 41 44 75 40,,Autres services,J - Information et communication
VEGA FRANCE,contact@vegafrance.fr,+33 5 34 56 99 78,,"Edition, impression",J - Information et communication
TRAZA FRANCE,nbrenne@traza.com,+33 3 45 70 62 89,,Autres services,J - Information et communication
NDS INFO,contact@ndsi.fr,+33 1 46 87 15 52,,Autres services,J - Information et communication
INFOPLAN,infloplan@infoplan.fr,+33 3 28 65 86 20,,Autres services,J - Information et communication
ALTER TELECOM,contact@alter-telecom.fr,+33 1 77 56 80 00,,Télécommunications,J - Information et communication
SYNEXIE,info@synexie.fr,+33 4 98 08 02 80,,Autres services,J - Information et communication
NETWAVE,contact@netwave.eu,+33 5 61 00 71 50,Engaged in the provision of computer programming services,Autres services,J - Information et communication
SOCIETE D EDITION D HORIZONS DU CENTRE ILE DE FRANCE,annonces@horizons.fr,+33 2 37 88 11 20,Primarily engaged in the publishing of journals and periodicals,"Edition, impression",J - Information et communication
VIDEO INFOGRAPHIE COMMUNICATION,eric@refletsvideo.com,+33 3 20 86 15 15,Engaged in motion picture and video production,Autres services,J - Information et communication
CERALIS,contact@85.cerfrance.fr,+33 2 51 24 42 80,,Autres services,J - Information et communication
WELCOME REAL TIME,info@welcome-rt.com,+33 4 42 97 58 97,Operates as a global provider of payment software for financial institutions and payment networks,"Edition, impression",J - Information et communication
EURISIS,ssii@eurisis.fr,+33 3 28 33 33 28,,Autres services,J - Information et communication
PN DATA,contact@pndata.fr,+33 3 20 10 03 03,,Autres services,J - Information et communication
NETPLUS,info@netplus.fr,+33 1 55 95 00 50,,Autres services,J - Information et communication
URIOS,commercial@wintrans.com,+33 4 42 93 15 98,,"Edition, impression",J - Information et communication
AUGUSTA REEVES HR,communication@augustareeves.fr,+33 1 56 33 27 27,,Autres services,J - Information et communication
SEVANOVA,contact@sevanova.com,+33 4 78 39 00 69,,Autres services,J - Information et communication
GIL RESTAURATION ET MULTI ACTIVITES,contact@gilrma.fr,+33 4 72 14 28 95,Software management system for commercial catering [source: Bureau van Dijk],Autres services,J - Information et communication
SOFT CONCEPT,support@ethnosoft.com,+33 4 78 54 64 00,,"Edition, impression",J - Information et communication
INFOSAT TELECOM SA,infosat@infosat-telecom.fr,+33 8 11 03 20 12,Engaged in the provision of Wifi Internet access services,Télécommunications,J - Information et communication
ALTA CONCEPT,commercial@altaconcept.com,+33 2 43 84 40 18,,Autres services,J - Information et communication
PRESENT FRANCE,contact@it-present.fr,+33 1 85 40 30 00,,Autres services,J - Information et communication
ORDINAL SOFTWARE,contact@ordinal.fr,+33 8 11 65 05 03,,"Edition, impression",J - Information et communication
LSI SUD INFORMATIQUE,com@lsi-sud.com,,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
TECHNOLOGY EVERYWHERE,contact@technology-everywhere.fr,+33 1 55 28 97 70,,Autres services,J - Information et communication
GUM PROD,info@gumprod.com,+33 1 44 88 88 80,,"Edition, impression",J - Information et communication
BBS SLAMA,sav@bbs-slama.com,+33 4 73 34 96 60,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
C2IP,info@c2ip.com,+33 3 85 44 93 68,,Autres services,J - Information et communication
LAMBERT TELEPHONIE,blambert@lambert-telephonie.fr,+33 3 87 75 83 00,,Télécommunications,J - Information et communication
CLICK-CALL,contact@click-call.com,+33 1 46 37 67 67,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
ALTO ENGINEERING,kbenarba@alto-engineering.com,+33 2 62 97 99 97,,Autres services,J - Information et communication
PROVE&RUN,contact@provenrun.com,+33 1 75 77 55 55,,Autres services,J - Information et communication
5A SOLUTIONS,contact@5asolutions.com,,,Autres services,J - Information et communication
SARL ASSESSFIRST,ateplitchi@assessfirst.com,+33 1 72 77 31 52,,"Edition, impression",J - Information et communication
ARCAN SYSTEMS,arcan@arcan.fr,+33 4 72 81 71 61,Home business software publisher [source: Bureau van Dijk],"Edition, impression",J - Information et communication
XPERTEAM,information@xperteam.fr,+33 1 55 70 28 28,,Autres services,J - Information et communication
COMPAGNIE EUROPEENNE DU HAUT DEBIT CEHD,infos@com-ip.fr,+33 1 60 12 72 28,,Télécommunications,J - Information et communication
WOPATA,contact@wopata.com,+33 5 56 32 63 61,,Autres services,J - Information et communication
CIRTACOM,lofti@cirtacom.fr,+33 1 70 25 96 47,,Télécommunications,J - Information et communication
BUSINESS SERVICES,infos@business-services.fr,+33 1 30 09 62 20,,Autres services,J - Information et communication
PRODUCTIONS ET EDITIONS PAUL LEDERMAN,assist@lederman.fr,+33 1 46 51 09 49,,"Edition, impression",J - Information et communication
IP ENERGY,administratif@ipenergy.fr,+33 4 42 65 75 60,,Autres services,J - Information et communication
LE BOIS NATIONAL L OFFICIEL DU BOIS,direction@leboisinternational.com,+33 4 78 87 29 40,,"Edition, impression",J - Information et communication
B. ECO-MANAGER,alban.regaire@ecomanager.fr,+33 3 68 33 50 01,,Autres services,J - Information et communication
ACTION'SERVICES,contact@actionservices.fr,+33 1 30 79 97 45,,Autres services,J - Information et communication
OPENSPHERE,contact@opensphere.fr,+33 6 92 22 79 56,,Autres services,J - Information et communication
IDEOLYS,contact@ideolys.com,+33 2 85 52 08 84,,"Edition, impression",J - Information et communication
ALLIANCE RESEAUX,info@alliance-reseaux.com,+33 4 79 64 07 72,,Autres services,J - Information et communication
TRIMARAN,emery@trimaran.fr,+33 1 41 06 62 62,,Autres services,J - Information et communication
POLYMORPH SOFTWARE,contact@polymorph.fr,+33 2 99 30 60 60,,Autres services,J - Information et communication
LANTEK,serge.bellaiche@lantek.fr,+33 1 41 11 50 60,,Autres services,J - Information et communication
INFITEX,contact@infitex.fr,+33 3 20 98 57 98,Engaged in the provision of computer programming services,Autres services,J - Information et communication
EDITIONS A & J PICARD,achats@librairie-picard.com,+33 1 43 26 96 73,,"Edition, impression",J - Information et communication
UNIMEDIA SERVICES,contact@unimedia.fr,+33 2 41 22 72 27,,Autres services,J - Information et communication
A.D.I.C.,service.commercial@adic-informatique.com,+33 8 92 68 00 54,,Autres services,J - Information et communication
ICOM COMMUNICATION,contact@icom-com.fr,+33 5 62 57 73 43,,Autres services,J - Information et communication
EDXACT,info@edxact.com,+33 4 76 66 89 80,Circuit stimulation custom software developer [source: Bureau van Dijk],"Edition, impression",J - Information et communication
PRAXIS,pratikweb@pratikweb.com,+33 4 79 75 07 69,,Autres services,J - Information et communication
COPTIS,rachel.cloix@coptis.com,+33 1 39 04 23 40,,"Edition, impression",J - Information et communication
OPTIFLOWS,contact@surycat.com,+33 1 82 70 15 50,Online critical communications management and mobility management Software-as-a-Service (SaaS) platform operator [source: Bureau van Dijk],Autres services,J - Information et communication
SCAN JET SYSTEM,sjs@scanjet.fr,+33 1 46 21 11 66,,Autres services,J - Information et communication
QUALILAB,contact@qualilab.com,+33 2 38 49 39 00,,Autres services,J - Information et communication
AMALTO TECHNOLOGIES,contact@amalto.com,+33 1 83 62 40 01,,"Edition, impression",J - Information et communication
ERT INTEGRATION,contact@ertgroupe.fr,+33 1 69 35 12 12,,Autres services,J - Information et communication
C G S I,cgsi@cgsi.fr,+33 4 95 30 13 20,,"Edition, impression",J - Information et communication
ALGOSS SYSTEMS,contact@algoss.fr,+33 2 99 52 54 10,Engaged in providing computer related services,Autres services,J - Information et communication
CP INTER@CTIVE,hotline.sage@pharmagest.com,+33 3 80 48 97 00,,Autres services,J - Information et communication
OSMOZ,agence@osmoz-ssii.com,+33 3 87 52 17 92,Online perfume rating and sharing platform operator [source: Bureau van Dijk],Autres services,J - Information et communication
OPSIA,opsia@opsia.fr,+33 4 94 23 93 17,,Autres services,J - Information et communication
VIAXOFT,contact@viaxoft.com,+33 9 72 35 81 03,Travel agency software developer ; Business consultancy services [source: Bureau van Dijk],"Edition, impression",J - Information et communication
4 CAST,stephane.pilloud@4cast.fr,+33 4 93 35 33 30,,Autres services,J - Information et communication
PRESSE DE LA FONDATION NATIONALE DES SCIENCES POLITIQUES,info@presses.sciences-po.fr,+33 1 45 49 83 64,Engaged in the publication of magazines and other related articles,"Edition, impression",J - Information et communication
ZENCHEF,contact@1001menus.com,+33 1 42 36 28 12,Online restaurant visibility platform operator [source: Bureau van Dijk],Autres services,J - Information et communication
SUDE COMMUNICATION,sude@sude.fr,+33 5 34 41 88 44,,"Edition, impression",J - Information et communication
PHL SOFT,phl@phlsoft.com,+33 1 42 42 44 85,,Autres services,J - Information et communication
CRISALID,commercial@crisalid.com,+33 3 87 65 98 80,,"Edition, impression",J - Information et communication
OPALES,vision@opales.fr,+33 3 84 24 88 66,"Engaged in the writing, modifying, testing, and supporting of software to meet the needs of a particular customer",Autres services,J - Information et communication
QUASAR CONCEPT,info@quasar-concept.fr,+33 2 41 34 35 11,,Autres services,J - Information et communication
WEXLOG FRANCE,info@wexlog.com,,Operates as an Independent Software Vendor (ISV) which develops products and provides support for leading providers in the logistics services marketplace,Autres services,J - Information et communication
CLICK AND TRUST,contact-commercial@click-and-trust.com,+33 1 40 04 95 23,"Engaged in the provision of data processing, hosting and other related services; Involved in providing infrastructure for hosting and data processing services",Autres services,J - Information et communication
SB CONSULTING,contact@s-bconsulting.fr,+33 1 44 54 54 30,,Autres services,J - Information et communication
AJC INFO,contact@ajc-info.fr,+33 3 84 90 21 01,Engaged in the development of software,Autres services,J - Information et communication
ADELYA S.A.S.,contact@adelya.com,+33 5 62 24 93 04,"Mobile, contactless and cloud-based smart loyalty solutions developer [source: Bureau van Dijk]",Autres services,J - Information et communication
EURO LOGICIEL SERVICE,aseynave@eurologiciel.com,+33 3 20 89 63 63,"Engaged in providing computer programming, data processing, and other computer related services",Autres services,J - Information et communication
CIEME INFORMATIQUE,services@cieme.com,+33 1 45 10 63 01,,Autres services,J - Information et communication
NIL EXPRESS,nilexpress@gmail.com,+33 1 40 05 10 07,,Télécommunications,H - Transports et entreposage
SARL AGROBASE LOGIGRAM,homologa-info@agrobase-logigram.com,+33 4 50 35 07 19,,Autres services,J - Information et communication
NEOCORETECH,contact@neocoretech.com,+33 2 76 78 10 60,Virtualisation solutions developer [source: Bureau van Dijk],Autres services,J - Information et communication
COMPAGNIE D EDITIONS LIBRES SOCIALES ET ECONOMIQUES - C E L S E,celse@celsedit.com,+33 1 42 67 41 23,Engaged in publishing and printing books,"Edition, impression",J - Information et communication
NETINARY,contact@netinary.com,+33 4 95 08 00 80,Wireless internet access software developer [source: Bureau van Dijk],Autres services,J - Information et communication
TRANSEPT INFORMATIQUE,contact@transept.net,+33 1 42 99 62 00,,Autres services,J - Information et communication
REZO CONSEIL,vital@groupe-vital.com,+33 1 46 37 80 80,,Autres services,J - Information et communication
SN CHRONIQUE EDITIONS,publicite@chronique-republicaine.fr,+33 2 99 99 12 15,,"Edition, impression",J - Information et communication
EXCEPTO,agence63@excepto.fr,+33 4 73 44 45 00,,"Edition, impression",J - Information et communication
ORPALIS,salescontact@gdpicture.com,+33 5 61 43 98 13,,Autres services,J - Information et communication
GALION SOLUTIONS,contact@galion-solutions.com,+33 3 20 67 74 80,Engaged in the provision of computer programming services,"Edition, impression",J - Information et communication
MODUL-BIO,info@modul-bio.com,+33 4 91 82 82 50,,Autres services,J - Information et communication
AUTOMATION REAL TIME TECHNOLOGY,contact@art-technology.fr,+33 1 53 66 39 80,,Autres services,J - Information et communication
C2IS,info@c2is.fr,+33 4 37 24 78 20,,Autres services,J - Information et communication
MICRO 6,commercial@micro6.fr,+33 3 83 44 81 81,Engaged in the development of software and software packages for hospital services and group practices,"Edition, impression",J - Information et communication
COMARCH R&D,comarch_rd_grenoble@comarch.com,+33 4 57 58 23 00,,"Edition, impression",J - Information et communication
CONVERGENCE-LAON INFORMATIQUE PUBLIQUE,contact@gie-convergence.fr,+33 3 23 27 75 40,,Autres services,J - Information et communication
NUNKI,contact@nunki.com,+33 3 20 28 18 20,,Autres services,J - Information et communication
OONOPS,info@oonops.com,+33 1 46 59 41 51,Engaged in motion picture and video tape production,Autres services,J - Information et communication
DPII TELECOM ET SERVICES,cpatuel@dpii-telecom.com,+33 1 34 20 10 30,"Engaged in providing computer programming, data processing, and other computer related services",Autres services,J - Information et communication
ADUNEO,contact@aduneo.com,+33 1 46 83 30 90,,Autres services,J - Information et communication
AT MATHIEU CHEVARA DESIGN GRAP,atelier@atelier-chevara.com,+33 1 48 06 35 13,Engaged in the provision of communications services,Autres services,J - Information et communication
MAINTENANCE DISTRIBUTION SOLUTION INFORMATIQUE,info@mdsi.re,,,Autres services,J - Information et communication
GENS D EVENEMENT,sylvie.thomas@gensdevenement.com,+33 1 45 00 77 32,,Autres services,J - Information et communication
TOURAINE TELEVISION,accueiltvtours@tvtours.fr,+33 2 47 60 63 00,,Autres services,J - Information et communication
BIG SO,contact@bigso.fr,+33 5 62 80 43 66,,Autres services,J - Information et communication
C-LOG INTERNATIONAL,info@c-log.com,+33 1 55 85 11 95,Business process management software developer [source: Bureau van Dijk],"Edition, impression",J - Information et communication
FICHIER SELECTION INFORMATIQUE,commercial@fsinet.fr,+33 1 48 15 09 71,,"Edition, impression",J - Information et communication
EXO PARTNERS,info@biomedix-itm.com,+33 4 78 19 83 95,,Autres services,J - Information et communication
ACTUA,parisinfo@actuafilms.com,+33 1 40 70 00 30,,Autres services,J - Information et communication
UNION COOP AGR CENTRE POUR INFORM GESTI,ucacig@ucacig.fr,+33 3 86 92 36 76,,Autres services,J - Information et communication
DOCUMENT PROJECT SERVICES,contact@documentproject.fr,+33 1 47 17 03 73,Engineering documentation consultancy services ; Technical assistance and computer manteinance services [source: Bureau van Dijk],Autres services,J - Information et communication
SOCIETE ETABLISSEMENTS JOUSSEAUME,cinemastgermain@wanadoo.fr,+33 1 34 51 35 85,,Autres services,J - Information et communication
BUREAU COMMUN DE L'INFORMATIQUE,camex75@wanadoo.fr,+33 1 64 00 08 99,,Autres services,J - Information et communication
KNOWWARE,question@competencemicro.com,+33 1 60 70 60 34,,"Edition, impression",J - Information et communication
WEB CONCEPT DESIGN,info@webcd.fr,+33 3 88 95 00 01,,Autres services,J - Information et communication
NET-NG,info@net-ng.com,+33 2 23 21 21 50,,Autres services,J - Information et communication
A.J. PRESSE,a-j-presse@actuj.com,+33 1 43 60 20 20,Operates as an advertising agency providing services and other related professional advice about marketing designed to promote or sell a product or services,"Edition, impression",J - Information et communication
MERCKEL,info@merckel.fr,+33 3 87 03 03 87,Engaged in computer consultancy activities,Autres services,J - Information et communication
CONNEX IT,contact@connex-it.fr,+33 4 78 38 31 25,,Autres services,J - Information et communication
A+W SOFTWARE FRANCE SAS,france@a-w.com,+33 4 72 23 68 60,,Autres services,J - Information et communication
APPIC,info@appic.com,+33 1 69 80 97 22,Engaged in software publishing,"Edition, impression",J - Information et communication
EDITIONS V D B,editions.vdb@wanadoo.fr,,Engaged in publishing and printing books,"Edition, impression",J - Information et communication
EDITIONS BPI,bpi@editions-bpi.fr,+33 1 41 40 81 46,,"Edition, impression",J - Information et communication
SOGIA SYSTEME,sogiasyst@aol.com,+33 5 56 44 61 54,,Autres services,J - Information et communication
COMARCH,contact@comarch.fr,+33 3 62 53 49 00,Engaged in the wholesale of computers and computer peripheral equipment and software,"Edition, impression",J - Information et communication
IMA'DIFF,bienvenue@imadiff.com,+33 1 53 80 89 89,,Autres services,J - Information et communication
SC - FORM CONCEPT,commercial@sc-form.com,+33 3 87 35 57 57,Engaged in software publishing in France,"Edition, impression",J - Information et communication
SOCIETE NOUVELLE DES CINEMAS MELIES,cinemaforum@wanadoo.fr,+33 3 87 95 07 30,,Autres services,J - Information et communication
JIGA SARL,contact@jiga.fr,+33 1 53 20 67 00,,Autres services,J - Information et communication
MICROLIST,admin@microlist.fr,+33 1 34 48 22 81,,Autres services,J - Information et communication
TELEMATIQUE SERVICE TMS,assistance@tms-gestion.fr,+33 1 42 93 26 46,,Autres services,J - Information et communication
ETUDES PARTICIP REALIS POUR EDIT MEDIAS,accueil@seprem.fr,+33 1 41 10 81 81,"Engaed in motion picture, video and television programme production activities",Autres services,J - Information et communication
EDICOM,edicom@edicom.fr,+33 1 45 11 08 08,"Engaged in the publishing of books, journals and periodicals","Edition, impression",J - Information et communication
B2F CONCEPT,contact@b2f-concept.com,+33 4 79 25 19 19,,Autres services,J - Information et communication
ABVENT R ET D,info@abvent.fr,+33 1 53 01 05 05,,"Edition, impression",J - Information et communication
SURF SESSION,contact@surfsession.com,+33 5 59 41 70 00,Surf and ski magazine publisher [source: Bureau van Dijk],"Edition, impression",J - Information et communication
HSK MD,commercial@safigdata.fr,+33 1 47 30 78 20,,Autres services,J - Information et communication
ROUEN COURSES,exploitation@rouen-courses.fr,+33 2 32 18 04 80,,Télécommunications,H - Transports et entreposage
SOCIETE NOUVELLE CINE VOX,vox.cine@gmail.com,+33 3 88 75 50 21,Engaged in motion picture production and distribution,Autres services,J - Information et communication
METHYS,methys@methys.com,+33 1 42 38 10 62,,Autres services,J - Information et communication
SOCIETE COMMERCIALE D EDITIONS ET D IMPRESSIONS - S. C. E. I. -,info@scei-edition.com,,,"Edition, impression",J - Information et communication
DELTA 2 I,delta2i@delta2i.fr,+33 4 73 44 72 00,,Autres services,J - Information et communication
DATA PUBLICA,contact@data-publica.com,+33 1 48 24 51 71,,"Edition, impression",J - Information et communication
MIRANE,info@mirane.com,+33 5 57 77 12 15,Touch screen manufacturer ; Computer hardware manufacturer [source: Bureau van Dijk],"Edition, impression",J - Information et communication
CAVALCADE,lauraschimario@wanadoo.fr,+33 3 44 54 04 50,"Engaged in the development, production and distribution of movies and multimedia films",Autres services,J - Information et communication
ARA NET,contact@aranet.fr,+33 3 44 85 10 55,,Autres services,J - Information et communication
EVALUATIONS AND LANGUAGE RESOURCES DISTRIBUTION AGENCY,secretariat@elda.org,+33 1 43 13 33 33,,Autres services,J - Information et communication
LA COTE BLEUE,ptixier@lacotebleue.fr,+33 1 44 76 85 85,Financial press agency services ; Financial information provider [source: Bureau van Dijk],Autres services,J - Information et communication
BEARSTECH,compta@bearstech.com,+33 6 71 62 42 74,,Autres services,J - Information et communication
COMPUTER ASSOCIES,contact@dai-computer.fr,+33 4 91 36 43 30,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
CYBELE,contact@les400coups.org,+33 2 41 42 87 39,,Autres services,J - Information et communication
GEMPSY FRANCE,martine@gempsyfrance.com,+33 1 39 90 69 46,Engaged in the provision of computer related services,Autres services,J - Information et communication
PROMOTION INDUSTRIES,info@allnet.fr,+33 2 31 84 22 05,,"Edition, impression",J - Information et communication
GAC TECHNOLOGY,contact@gac-technology.com,+33 4 37 49 63 60,,Autres services,J - Information et communication
CONVERTEO,contact@converteo.com,+33 1 84 16 06 60,Computer consultancy services [source: Bureau van Dijk],Autres services,J - Information et communication
S P V INFORMATIQUE,spv@spv.fr,+33 8 00 12 16 14,,Autres services,J - Information et communication
ATOO,atoo@orange.fr,+33 4 66 29 76 53,Engaged in providing Information Technology (IT) related services,Autres services,J - Information et communication
SERIOUS FACTORY,marketing@seriousfactory.com,+33 1 70 71 98 40,Online 3D Software-as-a-Service (SaaS) provider [source: Bureau van Dijk],Autres services,J - Information et communication
MICROMEDIA INTERNATIONAL,micromedia@micromedia-int.com,+33 4 76 04 11 00,,"Edition, impression",J - Information et communication
PROGIB,contact@progib.com,+33 3 44 28 26 00,,Autres services,J - Information et communication
GLOBAL SOFT,contact@globalpos.fr,+33 4 99 52 25 28,,Autres services,J - Information et communication
NEOSPHERES,contact@neospheres.eu,,Online business support Software-as-a-Service (SaaS) provider [source: Bureau van Dijk],Autres services,J - Information et communication
URBICA INGENIERIE,scan@urbica.net,+33 1 41 50 00 36,,Autres services,J - Information et communication
SANEP SA EDITION PUBLICITE,direction@phr.fr,+33 3 89 20 98 50,,"Edition, impression",J - Information et communication
CEPAD,cepadues@cepadues.com,+33 5 61 40 57 36,,"Edition, impression",J - Information et communication
DEDICACE,dedicace@dedicace.fr,,,"Edition, impression",J - Information et communication
CONVERTIGO,info@convertigo.com,+33 1 69 18 79 00,Enterprise mashup software developer [source: Bureau van Dijk],Autres services,J - Information et communication
CIMINFO,ciminfo@ciminfo.fr,+33 4 50 27 49 49,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
SELECT INFORMATIQUE,selecti@wanadoo.fr,+33 4 90 42 80 21,Engaged in hardware and software consultancy,Autres services,J - Information et communication
ARCHIPEL 33,archipel.info@orange.fr,+33 1 44 78 91 62,Engaged in motion picture production and distribution,Autres services,J - Information et communication
LP DIGITAL SYSTEM,administration@lp-digital.fr,+33 1 42 66 60 00,,Autres services,J - Information et communication
NAUTICOM,contact@nauticom.fr,+33 4 91 52 00 65,Online electronic equipment retailer [source: Bureau van Dijk],Autres services,J - Information et communication
ALKANTE,alkante@alkante.com,+33 2 99 22 25 70,Engaged in the provision of custom computer programming services,Autres services,J - Information et communication
CONSULTANT INFORM APPLIQ GESTION COMPTAB,accueil@ciagec.fr,+33 3 88 33 12 42,,Autres services,J - Information et communication
ALPWISE,alpwisesales@alpwise.com,+33 4 76 22 02 24,,Autres services,J - Information et communication
ECOPRESSE,cmonterde@objectif-lr.com,+33 4 99 13 76 50,,"Edition, impression",J - Information et communication
SOCIETE FRANCAISE D EDITION ET DE COMMUNICATION,sarah@sofrecom.fr,+33 1 49 91 93 99,,"Edition, impression",J - Information et communication
KORAIL INTEGRATED SOLUTIONS,contact@korail-is.com,+33 1 44 77 92 00,,Autres services,J - Information et communication
REFLEXIEL,dir.commerciale@reflexiel.fr,+33 1 41 73 42 30,,Autres services,J - Information et communication
A C S INFORMATIQUE,acsinfo@acsinfo.fr,+33 2 41 68 42 36,Engaged in the provision of information technology services,Autres services,J - Information et communication
ECOFFI SOFTWARE,webmaster@ecoffi.com,,,Autres services,J - Information et communication
ICCR,commercial@iccr.fr,+33 1 42 22 89 51,,Autres services,J - Information et communication
AGENCE CONSEIL POUR LES INTERVENANTS,info@acpi.fr,+33 1 58 18 33 00,,Autres services,J - Information et communication
SOPRESCO,abonnement@thuries.fr,+33 5 63 56 16 06,,"Edition, impression",J - Information et communication
XRAYS,chris@xrays.fr,+33 1 45 54 45 45,,Autres services,J - Information et communication
LAYON PRESSE,layonpresse@orange.fr,+33 2 41 76 42 52,,Télécommunications,H - Transports et entreposage
GAUMONT ALESIA,accueil.distri@pathe.com,+33 1 71 72 30 00,,Autres services,J - Information et communication
TESSI CHEQUE NANTERRE,ctic2@coopanet.com,+33 1 47 69 53 56,,Autres services,J - Information et communication
PRECEPT MEDIA,contact@preceptmedia.com,+33 1 69 83 48 50,,Autres services,J - Information et communication
SOC INFORMATIQUE,contact@socinformatique.fr,+33 3 88 77 03 26,,Autres services,J - Information et communication
ELIOT,contact@omp-transport.com,+33 2 99 83 59 00,,Autres services,J - Information et communication
IVOO,ivoo@ivoo.fr,+33 5 46 84 73 00,,Autres services,J - Information et communication
EDITIONS LE FIL D'ARIANE,contact@music-opera.com,+33 1 53 59 39 29,,"Edition, impression",J - Information et communication
ALTHEA RHONE ALPES,contact@althea-groupe.com,+33 1 79 71 73 28,,Autres services,J - Information et communication
ALGO'TECH INFORMATIQUE,contact@algotech.fr,+33 5 59 01 59 60,,Autres services,J - Information et communication
INOVAGES,contact@inovages.com,+33 4 72 52 35 10,Engaged in the provision of computer programming services,Autres services,J - Information et communication
C DESIGN,contact@cdesignfashion.com,+33 1 55 34 36 36,,"Edition, impression",J - Information et communication
RIASTUDIO,info@riastudio.fr,+33 5 47 74 81 87,E-commerce software developer [source: Bureau van Dijk],Autres services,J - Information et communication
DESIRADE,desirade@desirade.fr,+33 5 81 31 30 80,,Autres services,J - Information et communication
SERVICE RECHERCHE DEVELOPPEMENT,contact@srd.fr,+33 3 20 20 73 45,,"Edition, impression",J - Information et communication
ABSTRAKT,contact@abstrakt.fr,+33 1 40 05 97 68,,Autres services,J - Information et communication
METALUNA PRODUCTIONS,contact@metalunaproductions.com,+33 1 43 12 57 70,,Autres services,J - Information et communication
DORIANE,contact@doriane.com,+33 4 92 47 84 44,,"Edition, impression",J - Information et communication
EDITIONS PHILIPPE PICQUIER,editions-philippepicquier@harmoniamundi.com,+33 4 90 49 61 56,,"Edition, impression",J - Information et communication
TOUR MAG COM,redaction@tourmag.com,+33 4 91 58 88 53,,"Edition, impression",J - Information et communication
TGA PRODUCTION,tgaprod@tga.fr,+33 2 47 27 07 67,,Autres services,J - Information et communication
TELLIS,contact@tellis.net,+33 9 51 35 01 13,,Autres services,J - Information et communication
GHILDE,contact@ghilde.com,+33 1 30 83 27 40,,Autres services,J - Information et communication
F I CAM,administration@ficam.com,+33 2 37 26 28 10,,Autres services,J - Information et communication
PROSIM SA,info@prosim.net,+33 5 62 88 24 30,,"Edition, impression",J - Information et communication
BONNE PIOCHE PRODUCTIONS,bonnepioche@bonnepioche.fr,+33 1 49 29 46 00,Engaged in motion picture and video production,Autres services,J - Information et communication
ALIAS INFORMATIQUE,contact@alias66.com,+33 4 68 35 00 00,,Autres services,J - Information et communication
CINEKITA,contact@cinekita.fr,+33 1 77 68 61 00,,Autres services,J - Information et communication
SYNERGIE 73 INFORMATIQUE SARL,info@synergie73.com,+33 4 79 37 80 92,Engaged in the publication of software used in retail sports stores,"Edition, impression",J - Information et communication
AMBER TECHNOLOGIES,s.dussiel@amber-tech.fr,+33 1 60 48 87 00,,Autres services,J - Information et communication
APROGSYS,aprogsys@aprogsys.com,+33 3 81 47 70 38,,Autres services,J - Information et communication
OPTIMA CONCEPT,optima@optimaconcept.fr,+33 4 90 88 40 82,,Autres services,J - Information et communication
RUE89,contact@rue89.com,+33 1 71 18 20 00,Online newspaper publisher [source: Bureau van Dijk],"Edition, impression",J - Information et communication
APE CONSEIL,contact@ape-conseil.com,+33 4 72 10 09 79,,Autres services,J - Information et communication
ABC ENGINEERING,info@abcengineering.fr,+33 4 42 24 46 12,Professional and business software developer [source: Bureau van Dijk],"Edition, impression",J - Information et communication
NEUSTA,info@neusta-ces.com,+33 5 34 43 10 05,,Autres services,J - Information et communication
FREQUENCE PLUS,publicite@frequenceplusfm.com,+33 3 84 82 22 33,,Autres services,J - Information et communication
NAONED SYSTEMES,contact@naoned.fr,+33 2 85 52 17 21,,Autres services,J - Information et communication
